# x y z rho mue
0.540270 0.000000 0.000000 0.700000 7.241613
0.542771 0.000000 0.000000 0.700000 7.241613
0.545273 0.000000 0.000000 0.700000 7.241613
0.547774 0.000000 0.000000 0.700000 7.241613
0.550275 0.000000 0.000000 0.700000 7.241613
0.552776 0.000000 0.000000 0.700000 7.241613
0.555278 0.000000 0.000000 0.700000 7.241613
0.557779 0.000000 0.000000 0.700000 7.241613
0.560280 0.000000 0.000000 0.700000 7.241613
0.562781 0.000000 0.000000 0.700000 7.241613
0.565283 0.000000 0.000000 0.700000 7.241613
0.567784 0.000000 0.000000 0.700000 7.241613
0.570285 0.000000 0.000000 0.700000 7.241613
0.572786 0.000000 0.000000 0.700000 7.241613
0.575288 0.000000 0.000000 0.700000 7.241613
0.577789 0.000000 0.000000 0.700000 7.241613
0.580290 0.000000 0.000000 0.700000 7.241613
0.582791 0.000000 0.000000 0.700000 7.241613
0.585293 0.000000 0.000000 0.700000 7.241613
0.587794 0.000000 0.000000 0.700000 7.241613
0.590295 0.000000 0.000000 0.700000 7.241613
0.592796 0.000000 0.000000 0.700000 7.241613
0.595298 0.000000 0.000000 0.700000 7.241613
0.597799 0.000000 0.000000 0.700000 7.241613
0.600300 0.000000 0.000000 0.700000 7.241613
0.602801 0.000000 0.000000 0.700000 7.241613
0.605303 0.000000 0.000000 0.700000 7.241613
0.607804 0.000000 0.000000 0.700000 7.241613
0.610305 0.000000 0.000000 0.700000 7.241613
0.612806 0.000000 0.000000 0.700000 7.241613
0.615308 0.000000 0.000000 0.700000 7.241613
0.617809 0.000000 0.000000 0.700000 7.241613
0.620310 0.000000 0.000000 0.700000 7.241613
0.622811 0.000000 0.000000 0.700000 7.241613
0.625313 0.000000 0.000000 0.700000 7.241613
0.627814 0.000000 0.000000 0.700000 7.241613
0.630315 0.000000 0.000000 0.700000 7.241613
0.632816 0.000000 0.000000 0.700000 7.241613
0.635318 0.000000 0.000000 0.700000 7.241613
0.637819 0.000000 0.000000 0.700000 7.241613
0.640320 0.000000 0.000000 0.700000 7.241613
0.642821 0.000000 0.000000 0.700000 7.241613
0.645323 0.000000 0.000000 0.700000 7.241613
0.647824 0.000000 0.000000 0.700000 7.241613
0.650325 0.000000 0.000000 0.700000 7.241613
0.652826 0.000000 0.000000 0.700000 7.241613
0.655328 0.000000 0.000000 0.700000 7.241613
0.657829 0.000000 0.000000 0.700000 7.241613
0.660330 0.000000 0.000000 0.700000 7.241613
0.662831 0.000000 0.000000 0.700000 7.241613
0.665333 0.000000 0.000000 0.700000 7.241613
0.667834 0.000000 0.000000 0.700000 7.241613
0.670335 0.000000 0.000000 0.700000 7.241613
0.672836 0.000000 0.000000 0.700000 7.241613
0.675338 0.000000 0.000000 0.700000 7.241613
0.677839 0.000000 0.000000 0.700000 7.241613
0.680340 0.000000 0.000000 0.700000 7.241613
0.682841 0.000000 0.000000 0.700000 7.241613
0.685343 0.000000 0.000000 0.700000 7.241613
0.687844 0.000000 0.000000 0.700000 7.241613
0.690345 0.000000 0.000000 0.700000 7.241613
0.692846 0.000000 0.000000 0.700000 7.241613
0.695348 0.000000 0.000000 0.700000 7.241613
0.697849 0.000000 0.000000 0.700000 7.241613
0.700350 0.000000 0.000000 0.700000 7.241613
0.702851 0.000000 0.000000 0.700000 7.241613
0.705353 0.000000 0.000000 0.700000 7.241613
0.707854 0.000000 0.000000 0.700000 7.241613
0.710355 0.000000 0.000000 0.700000 7.241613
0.712856 0.000000 0.000000 0.700000 7.241613
0.715358 0.000000 0.000000 0.700000 7.241613
0.717859 0.000000 0.000000 0.700000 7.241613
0.720360 0.000000 0.000000 0.700000 7.241613
0.722861 0.000000 0.000000 0.700000 7.241613
0.725363 0.000000 0.000000 0.700000 7.241613
0.727864 0.000000 0.000000 0.700000 7.241613
0.730365 0.000000 0.000000 0.700000 7.241613
0.732866 0.000000 0.000000 0.700000 7.241613
0.735368 0.000000 0.000000 0.700000 7.241613
0.737869 0.000000 0.000000 0.700000 7.241613
0.740370 0.000000 0.000000 0.700000 7.241613
0.742871 0.000000 0.000000 0.700000 7.241613
0.745373 0.000000 0.000000 0.700000 7.241613
0.747874 0.000000 0.000000 0.700000 7.241613
0.750375 0.000000 0.000000 0.700000 7.241613
0.752876 0.000000 0.000000 0.700000 7.241613
0.755378 0.000000 0.000000 0.700000 7.241613
0.757879 0.000000 0.000000 0.700000 7.241613
0.760380 0.000000 0.000000 0.700000 7.241613
0.762881 0.000000 0.000000 0.700000 7.241613
0.765383 0.000000 0.000000 0.700000 7.241613
0.767884 0.000000 0.000000 0.700000 7.241613
0.770385 0.000000 0.000000 0.700000 7.241613
0.772886 0.000000 0.000000 0.700000 7.241613
0.775388 0.000000 0.000000 0.700000 7.241613
0.777889 0.000000 0.000000 0.700000 7.241613
0.780390 0.000000 0.000000 0.700000 7.241613
0.782891 0.000000 0.000000 0.700000 7.241613
0.785393 0.000000 0.000000 0.700000 7.241613
0.787894 0.000000 0.000000 0.700000 7.241613
0.790395 0.000000 0.000000 0.700000 7.241613
0.792896 0.000000 0.000000 0.700000 7.241613
0.795398 0.000000 0.000000 0.700000 7.241613
0.797899 0.000000 0.000000 0.700000 7.241613
0.800400 0.000000 0.000000 0.700000 7.241613
0.802901 0.000000 0.000000 0.700000 7.241613
0.805403 0.000000 0.000000 0.700000 7.241613
0.807904 0.000000 0.000000 0.700000 7.241613
0.810405 0.000000 0.000000 0.700000 7.241613
0.812906 0.000000 0.000000 0.700000 7.241613
